title,price,link_item,index_,discount,discount_percent,countReviews
"Điện thoại Tecno Spark 20 Pro+ 8GB/256GB - độ mỏng viền 7.55mm, camera 108MP, chip Helio G99",4.550.000 ₫,https://www.lazada.vn/products/dien-thoai-tecno-spark-20-pro-8gb256gb-do-mong-vien-755mm-camera-108mp-chip-helio-g99-i2623380145.html,11,,,"(2)
Hà Nội"
"Điện thoại Tecno Spark 20 8GB/128GB - chip MediaTek Helio G85, màn hình 6.56 inch, sạc nhanh 18W",2.790.000 ₫,https://www.lazada.vn/products/dien-thoai-tecno-spark-20-8gb128gb-chip-mediatek-helio-g85-man-hinh-656-inch-sac-nhanh-18w-i2623313506.html,12,,,"(1)
Hà Nội"
iPhone 16 - Hàng Chính Hãng VN/A,22.998.000 ₫,https://www.lazada.vn/products/iphone-16-hang-chinh-hang-vna-i2792147558.html,13,,,"84 Đã bán
(20)
Hồ Chí Minh"
iPhone 16 Plus - Hàng Chính Hãng VN/A,25.998.000 ₫,https://www.lazada.vn/products/iphone-16-plus-hang-chinh-hang-vna-i2792267146.html,14,,,"102 Đã bán
(20)
Hồ Chí Minh"
iPhone 15 Pro Max - Hàng Chính Hãng VN/A,29.289.000 ₫,https://www.lazada.vn/products/iphone-15-pro-max-hang-chinh-hang-vna-i2417233670.html,15,,,"16.8K Đã bán
(4198)
Hồ Chí Minh"
[Trả góp 0%] Apple iPhone 16 Pro 128GB Chính hãng VN/A [Viettel Store],30.090.000 ₫,https://www.lazada.vn/products/tra-gop-0-apple-iphone-16-pro-128gb-chinh-hang-vna-viettel-store-i2796045785.html,16,,,Hà Nội
Samsung Galaxy Z Fold5 5G F946 512GB Ram 12GB Chính Hãng - 25410,29.990.000 ₫,https://www.lazada.vn/products/samsung-galaxy-z-fold5-5g-f946-512gb-ram-12gb-chinh-hang-25410-i2435651021.html,17,,,Hồ Chí Minh
Apple iPhone 16 Pro Max 256GB Chính Hãng (VN/A),36.805.000 ₫,https://www.lazada.vn/products/apple-iphone-16-pro-max-256gb-chinh-hang-vna-i2807195955.html,18,,,Hà Nội
[Trả góp 0%] Apple iPhone 16 Pro 256GB Chính hãng VN/A [Viettel Store],33.090.000 ₫,https://www.lazada.vn/products/tra-gop-0-apple-iphone-16-pro-256gb-chinh-hang-vna-viettel-store-i2796059738.html,19,,,Hà Nội
iPhone 13 - Hàng Chính Hãng VN/A,14.089.000 ₫,https://www.lazada.vn/products/iphone-13-hang-chinh-hang-vna-i1525577176.html,20,,,"5.3K Đã bán
(1098)
Hồ Chí Minh"
"Điện thoại Xiaomi Redmi Note 13 (6GB/128GB) - Hàng chính hãng - 3 camera sắc nét, hiệu năng mạnh mẽ, sạc nhanh 33W",4.149.000 ₫,https://www.lazada.vn/products/dien-thoai-xiaomi-redmi-note-13-6gb128gb-hang-chinh-hang-3-camera-sac-net-hieu-nang-manh-me-sac-nhanh-33w-i2552143861.html,21,,,"53 Đã bán
(9)
Bến Tre"
Apple iPhone 16 Plus 128GB Chính Hãng (VN/A),26.390.000 ₫,https://www.lazada.vn/products/apple-iphone-16-plus-128gb-chinh-hang-vna-i2807207151.html,22,,,Hà Nội
